type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
Control	0.715463605782982	0	0.0452958387756324	0.0587105825479109	0.0395398862695345	0	0.0601837621303492	0.0704450461282328	0.0103612783653587
Control	1	0	0	0	0	0	0	0	0
Breast cancer	0.459413417032511	0.0232178407906638	0.0515309232074905	0.0714961888768002	0.0536835066644868	0	0.0667459969566753	0.273912126471373	0
Control	0.207199091604823	0.0369107643119221	0.0328706660419214	0.0358686164140836	0.0201655152451038	0	0.0379042029406701	0.629081143441476	0
Control	0.0980308809985611	0.0269533091025221	0.0119019150302344	0.011151508520431	0.00486811882659496	0	0.0371816197634981	0.809912647758158	0
Breast cancer	0.664516170679088	0	0.046110245378143	0.0681186835840999	0.0471943259927245	0	0.0644740673166071	0.109397498721961	0.000189008327376266
Control	0.843996068353433	0	0.031727291510306	0.0386775838626881	0.0329677560686948	0	0.0351466578318419	0.01307323585294	0.00441140652009632
Breast cancer	0.564240945362589	0.0100170280450837	0.0652059855308332	0.0873207873334569	0.0505441009690585	0	0.0926435478838948	0.12788216537889	0.00214543949619389
Breast cancer	0.698778291949696	0	0.048956693907126	0.0783436940822345	0.053419083231425	0	0.0708419426410887	0.0491209527978081	0.000539341390621841
Control	0.652039451006505	0.0132743686196266	0.0528367141343068	0.0740776194164028	0.057060424294708	0	0.0690962083536535	0.0816152141747976	0
Breast cancer	0.821572686897816	0	0.026966088548668	0.0443997147636141	0.0266094930999739	0	0.0409274161157061	0.0373748874300487	0.00214971314417358
Control	0.773601135650636	0	0.0368743094770815	0.0482639660379223	0.0311084032178826	0	0.0588638103553233	0.0504583666565769	0.000830008604577111
Breast cancer	0.444227934916907	0	0.0626725260022762	0.0736030615335802	0.0453538075537954	0	0.100924976696304	0.273217693297137	0
Control	0.38369523148092	0.0233739593821323	0.0566059785654743	0.0734920282437436	0.0532359834006323	0	0.0640530781393709	0.345543740787727	0
Breast cancer	0.789307985415928	0	0.0378211606234351	0.0498046875695409	0.0327130698368845	0	0.0504676685038054	0.0391540976135116	0.000731330436894791
Control	0.240505268823611	0.0868926085489757	0.0440906407380678	0.0440307016609607	0.0461690512172832	0	0.0984655688231579	0.439846160187944	0
Breast cancer	0.996010856148966	0	0.000739393546428158	0.000943718324972758	0.000689400093318193	0	0.000837637691098796	0.000778994195216444	0
Breast cancer	0.564041492791089	0	0.0608659391356087	0.0848238031048164	0.0544110464484082	0	0.0779988195349706	0.157858898985107	0
Control	1	0	0	0	0	0	0	0	0
Breast cancer	0.507897098503438	0.011289687140098	0.071150722636379	0.0975346760958548	0.0747877814407504	0	0.100506726399667	0.124827449564796	0.0120058582190173
Control	0.425502276348292	0	0.0617156598353046	0.0815859482317096	0.0384247174813979	0	0.119349797337338	0.273421600765958	0
Breast cancer	0.833862308771522	0	0.0251249310459698	0.0372113322062379	0.029187961764974	0	0.0342722315458133	0.0391427480388882	0.00119848662659485
Control	1	0	0	0	0	0	0	0	0
Control	1	0	0	0	0	0	0	0	0
Control	0.880888963713265	0	0.0212396442505821	0.0311347689625448	0.0214266420989157	0	0.0195293550925473	0.0213147817905943	0.00446584409155108
Control	0.61967470046582	0.0488436371558971	0.0583156723265713	0.0743519793482628	0.0629034159692887	0	0.0566353129234858	0.0792752818106743	0
Control	0.916202027140193	0	0.014611787554526	0.0198379271595665	0.0156183391519829	0	0.0149737040886226	0.0169309902227261	0.00182522468238278
Control	0.526538938718811	0	0.0558320116208804	0.078495378613324	0.0468333502928775	0	0.076339280107015	0.215961040647092	0
Control	0.313481332406062	0.0764408768442668	0.0618853366176754	0.0923132351291106	0.0788524496781323	0	0.0840044055766921	0.293022363748061	0
