type	Epi	Fib	B	NK	CD4T	CD8T	Mono	Neutro	Eosino
Control	0.706249560516784	0	0.0314120144900587	0.0515283161238793	0.0359788269872885	0	0.0793150695024682	0.0787946312219283	0.0167215811575933
Control	0.730667570610435	0	0.0330045152465217	0.0551496083915428	0.0355570968987956	0	0.0761261946249427	0.0526340232941312	0.0168609909336312
BRCA1	0.631522610367117	0	0.0437137075710022	0.0568376046171098	0.0401678310233812	0	0.0841157883529225	0.125712425860162	0.0179300322083048
Control	0.270160504479565	0.0232092347507725	0.0318266409433592	0.0515926658784292	0.0284515428772097	0	0.080099784544356	0.514659626526309	0
Control	0.574780699347712	0	0.0344037692238341	0.055268575527776	0.0385163834130253	0	0.096226601594618	0.200803970893034	0
Control	0.85740790817505	0	0.0201425538561041	0.028829717557822	0.0169010545663488	0	0.0519084697256493	0.0223583302378181	0.00245196588120812
BRCA1	0.828073162952744	0	0.0228149007679979	0.0321861947386005	0.0199752216976151	0	0.0550329568042458	0.0388673330318146	0.00305023000698253
Control	0.637966151642426	0	0.0363323661463439	0.0700145677263278	0.0477560745395063	0	0.082003219400875	0.120115036468969	0.00581258407555224
Control	0.888897640838037	0	0.0161686202008301	0.0241013317993867	0.0174963757636751	0	0.0311510214195817	0.013713229868666	0.00847178010982331
Control	0.434030135862699	0.0145864997622058	0.0534573067631195	0.0728886742721536	0.0333824626912225	0	0.10434434934952	0.28731057129908	0
Control	0.420410273373566	0.00689843123346632	0.040640553001938	0.0566487633084157	0.0334370386248676	0	0.0925902642947259	0.34937467616302	0
BRCA1	0.616664492412149	0	0.0442551502354097	0.05207682977746	0.0336056679754735	0	0.0658380875368144	0.184338875878658	0.00322089618403532
Control	0.770720629934856	0	0.0302209520079358	0.0423968825892027	0.0284627822962552	0	0.0727062282373794	0.050145965109256	0.00534655982511477
Control	0.97954088428606	0	0.00331032591406461	0.00508419778401915	0.00302960921568285	0	0.00647865412169793	0.00129280206756157	0.00126352661091361
