WID-BC-index (immune)	immune cell proportion	type
-1.34892672018476	0.484781048788566	Control
-1.80312254147213	0.516644585339245	Control
-1.68134488921369	0.736923390147798	Control
-1.98921800841025	0.944544122730092	Control
-2.18713698095992	0.932424306349746	Control
-1.39175944746758	0.00921308915146085	Control
-1.76612004078448	0.67672846899489	Control
-1.54585796431655	0.255589687202144	Control
-1.93579862898811	0.871553416748183	Control
-1.42703342218987	0.372868086059919	Control
-1.5642223683287	0.525899626406826	Control
-1.28072006985325	0.0342968700938431	Control
-2.12011214474363	0.901633660242569	Control
-1.65855097331946	0.745075296650324	Control
-1.364273994957	0	Control
-1.7814089415612	0.8043275529916	Control
-1.51092423931756	0.260786010247137	Control
-2.13797210269469	0.773370819022962	Control
-1.98025432791868	0.856818659147067	Control
-1.43969364101125	0.248664235467342	Control
-1.79023672589515	0.600290647290561	Control
-1.7547062232039	0.52431453152573	Control
-1.32166108651059	0	Control
-1.66581416745642	0.546002984035494	Control
-1.75050749232015	0.534784942059861	Control
-1.67311948081807	0.753318228315786	Control
-1.51231955943638	0.53988140459456	Control
-1.76454677344971	0.703345910411958	Control
-1.62654134951451	0.411119297446361	Control
-1.72928157256693	0.888181574709489	Control
-1.67352043501406	0.260246354636142	Control
-1.91604880530915	0.41868164942291	Control
-2.00332008713753	0.898343538458531	Control
-1.4675830887048	0.226860018817375	Control
-1.68496766089075	0.414824979048058	Control
-1.73526797896132	0.324531010541927	Control
-1.59543419502899	0.615613638570206	Control
-1.62402437695392	0.590631986708662	Control
-2.12017087437096	0.704848931127271	Control
-2.07938494912587	0.874302560818139	Control
-1.79633490811597	0.253516522546293	Control
-1.80243703194292	0.555326422736469	Control
-1.69926474146444	0.62260963010602	Control
-1.4876389754266	0.143927761451168	Control
-2.10196860902908	0.917501732297038	Control
-1.70938326117434	0.651716140778776	Control
-1.60793462108031	0.282192610585607	Control
-1.72301728283095	0.533174405033216	Control
-1.58678106762529	0.630667726016757	Control
-1.59482110247902	0.449423728110566	Control
-1.7236346489003	0.709191243412242	Control
-1.38074748438642	0.184698778876139	Control
-1.99822894669977	0.747936528224618	Control
-1.48160969821479	0.400512996585361	Control
-1.69409513953096	0.870732077641593	Control
-1.27582498063495	0	Control
-1.67949340920463	0.216997802878132	Control
-1.89367737973135	0.794420129636785	Control
-1.57241297734662	0.500381229238428	Control
-1.73410326582035	0.517404882243066	Control
-2.10221608229096	0.772070645938006	Control
-1.60579150773677	0.405298968287934	Control
-2.26755759489367	0.81414760069914	Control
-1.80740244645246	0.446550004694329	Control
-1.56572217677467	0.279990657632621	Control
-1.54305197576008	0.545693065742293	Control
-1.2899304427044	0.00253602964212153	Control
-1.75909517739151	0.513469319398493	Control
-1.71305899216945	0.354714926916134	Control
-1.39591699139932	0.240832431370059	Control
-1.4059634919649	0.0596437859807915	Control
-1.79929227271744	0.647000925779079	Control
-1.94786630131976	0.686351364685118	Control
-1.32881416560753	0.360822214806432	Control
-1.76396540701791	0.698876799719422	Control
