cg15698548	immune.cell.proportion	type
0.86014613805986	0.844023703055839	Control
0.580848639433529	0.321400262046011	Control
0.755633382836171	0.639077138355734	Control
0.364418737327987	0.318809609003158	Control
0.636051639397002	0.486547290839983	Control
0.870253234391365	0.821442584953793	Control
0.815275459088863	0.746167372632451	Control
0.510231507159502	0.488085825092793	Control
0.567349428734112	0.353355945353242	Control
0.56214610172031	0.850261603379413	Control
0.426787946855424	0.440809713503857	Control
0.906070106331926	0.924409023531341	Control
0.709479302724844	0.579547805085544	Control
0.579017058490645	0.42087261099113	Control
0.876831493011171	0.953783395780267	Control
0.691898565820077	0.642765491152021	Control
0.855363081496633	0.873416833203761	Control
0.890612697514941	0.814028285458528	Control
0.311708278007911	0.00675323076252145	Control
0.678630073901414	0.685354540081103	Control
0.484446883694456	0.251973321698866	Control
0.772927985664671	0.692141523423937	Control
0.839975544865821	0.828107350129496	Control
0.859079268498206	0.852088461463269	Control
0.852102090633835	0.875624992553805	Control
0.766457240002799	0.798608157784057	Control
0.343353973488331	0.150607542757499	Control
0.693351892825053	0.542748441070667	Control
0.270748568642149	0.178633393002904	Control
0.909371156393859	0.964593780113969	Control
0.395364289370437	0.257658993979536	Control
0.674181313722411	0.422030457385911	Control
0.6851123342688	0.407511224626987	Control
0.701414821094811	0.566261359844254	Control
0.261635244752804	0.00410294307461779	Control
0.776174565043696	0.708943704880729	Control
0.900129266113892	0.95397121229527	Control
0.656947685675326	0.535889298227771	Control
0.842214800735566	0.702886418092032	Control
0.53037373383717	0.250493154177383	Control
0.722625592925886	0.592503347866294	Control
0.17294948075199	0.00811178470664393	Control
0.852008077987212	0.806069373118295	Control
0.506664422258968	0.469132739447841	Control
0.445608423513292	0.00934822998439345	Control
0.791095462025827	0.74467260285176	Control
0.608896838530562	0.523536681780033	Control
0.887957926146713	0.887785683391485	Control
0.602051077409348	0.484500398504256	Control
0.749556353035296	0.763558668509942	Control
0.824590654646462	0.775123506832398	Control
0.580678229142041	0.537113961031292	Control
0.604424683970689	0.564422902286394	Control
0.277158175701487	0.221695539420918	Control
0.546038689733607	0.508472466931128	Control
0.467545362599123	0.346776451795744	Control
0.786788631077603	0.612553186942984	Control
0.698568826580163	0.693865009711723	Control
0.592888492575732	0.601211571916046	Control
0.431487004602573	0.167694976358273	Control
0.59101611474606	0.391762862011524	Control
0.631777682325689	0.524602734051613	Control
0.39808603916244	0.357108861445741	Control
0.84237229535666	0.873290899301647	Control
0.942536526373113	0.91629901446884	Control
0.881511626288362	0.891825399758501	Control
0.869283267651505	0.97566536302191	Control
0.702127452895721	0.524995481772299	Control
0.754387114644933	0.667396722115251	Control
0.512667381176472	0.0493944580436153	Control
0.848625865434087	0.733635225326331	Control
0.799782085949141	0.845680607754682	Control
0.822523045613375	0.757489106141469	Control
0.929136683683353	0.973300652572577	Control
0.546418635766193	0.494150448408801	Control
0.467031298131699	0.0540005295217434	Control
0.889484217698835	0.859013156878952	Control
0.34319762661766	0.0845421172929053	Control
0.833716221706197	0.952317309983944	Control
0.905897604836291	0.917247550705342	Control
0.361249665792223	0	Control
0.88216166974625	0.840754660799968	Control
