immune cell proportion	TGCA-BC-index	type	tissue
0.817636442800044	-1.69890201041702	Control	Cervical sample
0.507127453109194	-1.2708849629782	Control	Cervical sample
0.211549407561309	-0.817445491130179	Control	Cervical sample
0	-0.918626705403366	Control	Cervical sample
0.917511967333428	-1.86975547551785	Control	Cervical sample
0.613784919467541	-1.38750213628081	Breast cancer	Cervical sample
0.0434724121658983	-0.948123763142377	Control	Cervical sample
0.624193482594805	-1.63607759135501	Breast cancer	Cervical sample
0.320278618888269	-1.0879912369168	Control	Cervical sample
0.334554231051555	-1.26883367239109	Breast cancer	Cervical sample
0.605372251975784	-1.65460112969567	Control	Cervical sample
0.861542543386296	-1.41786707693831	Control	Cervical sample
0.467137356070747	-1.51249065265387	Control	Cervical sample
0.378765650360322	-1.42032865858045	Control	Cervical sample
0.277873228966126	-0.807606569836855	Control	Cervical sample
0.754764568086236	-1.68795504039504	Control	Cervical sample
0.32489456291855	-1.12984982972348	Control	Cervical sample
0.409934572469189	-1.28873364123629	Control	Cervical sample
0.897438348602038	-1.89355109146854	Control	Cervical sample
0.685462290739003	-1.9563273523038	Breast cancer	Cervical sample
0.568886311372708	-1.6451617109927	Control	Cervical sample
0.500671780389944	-1.52205436618036	Breast cancer	Cervical sample
0.0396884341555018	-0.739067228812329	Breast cancer	Cervical sample
0.227626849831434	-1.37956525136332	Control	Cervical sample
0.769101701550818	-1.65110169516409	Control	Cervical sample
0.236564756293129	-1.35909137377785	Breast cancer	Cervical sample
0.453414024099549	-1.25537075242757	Breast cancer	Cervical sample
0.0322922749775699	-1.07796951470066	Control	Cervical sample
0.671579422158687	-1.60394123920279	Control	Cervical sample
0.715066988234814	-1.7208399300621	Control	Cervical sample
0.773492828440671	-1.93304522769714	Breast cancer	Cervical sample
0.173442853014295	-0.975311522220694	Control	Cervical sample
0.494423087086159	-1.62415599683088	Breast cancer	Cervical sample
0.88341543877591	-1.76198251521405	Control	Cervical sample
0.0790346224826434	-1.17751912433555	Breast cancer	Cervical sample
0.607285905937909	-1.4970741367843	Control	Cervical sample
0.169560104257945	-1.08168191802328	Breast cancer	Cervical sample
0.781176930639323	-1.64460633895804	Control	Cervical sample
0.706852375590377	-1.59182057219903	Breast cancer	Cervical sample
0.641760236979806	-1.47461552124753	Control	Cervical sample
0.896065256684654	-1.79270264562463	Control	Cervical sample
0.480701127785605	-1.61434111182149	Control	Cervical sample
0.713402702784897	-1.50003100765895	Breast cancer	Cervical sample
0.298899790731167	-1.22890083066891	Control	Cervical sample
0	-1.07968793357914	Control	Cervical sample
0.187470600365606	-1.02931496824917	Control	Cervical sample
0.955669164331919	-1.80476442275001	Breast cancer	Cervical sample
0.336784966004738	-1.06673858791428	Control	Cervical sample
0.557420856528205	-0.86184449822879	Control	Cervical sample
0.156188361293824	-1.10077594406432	Breast cancer	Cervical sample
0.613831502190614	-1.59017977917566	Breast cancer	Cervical sample
0.0391828767413289	-1.0065150785163	Control	Cervical sample
0.826079250050274	-1.70330565766185	Breast cancer	Cervical sample
0.438661437071053	-1.51238569349896	Control	Cervical sample
0.522756901318765	-1.15367339940581	Control	Cervical sample
0.718491257016994	-1.65202012724101	Control	Cervical sample
0.14895254456136	-0.909747674250111	Control	Cervical sample
0.230674411760649	-1.23329237630398	Control	Cervical sample
0.593084535529992	-1.39505174009858	Control	Cervical sample
0	-0.906930393147546	Breast cancer	Cervical sample
0.607561760102329	-1.65543259669795	Control	Cervical sample
0.40806912661401	-1.12982938962998	Breast cancer	Cervical sample
0.46851006658263	-1.37128018538437	Control	Cervical sample
0.702209327789074	-1.44220825674955	Control	Cervical sample
0.833071009653516	-1.53998123854094	Control	Cervical sample
0.303258484280692	-1.37645951388555	Control	Cervical sample
0.481066896704783	-1.51008519887583	Breast cancer	Cervical sample
0.506797495688785	-1.43488940165693	Control	Cervical sample
0.0553967442239097	-0.889369751710803	Breast cancer	Cervical sample
0.793103585530844	-1.7163913586351	Control	Cervical sample
0.0372266248696219	-0.912595682072288	Control	Cervical sample
0.0380384665474442	-0.904148553337235	Control	Cervical sample
0.179178898268077	-0.710793853188614	Control	Cervical sample
0.472552243959628	-1.12985088329371	Breast cancer	Cervical sample
0.291287110444853	-1.0220692976103	Control	Cervical sample
0.759128361953125	-1.72949514981822	Breast cancer	Cervical sample
0.179276787302278	-0.665651763326924	Control	Cervical sample
0.736276743280852	-1.72909130995824	Breast cancer	Cervical sample
0.511629688809222	-1.36695413571551	Control	Cervical sample
0.525704561399722	-1.59086503638725	Breast cancer	Cervical sample
0.57106128937602	-1.46116775687668	Control	Cervical sample
0.480434589473541	-1.20396174520571	Control	Cervical sample
0.404913848277563	-1.49231557445772	Control	Cervical sample
0.702907736916086	-1.7244292750889	Breast cancer	Cervical sample
0.245078963661621	-1.05616881178279	Control	Cervical sample
0.558437894958648	-1.18083452008051	Breast cancer	Cervical sample
0.684000194295875	-1.49489629136595	Control	Cervical sample
0.700750905010297	-1.48368022754147	Control	Cervical sample
0.891810564482154	-1.58566670177974	Breast cancer	Cervical sample
0.60949053831563	-1.30006869903059	Breast cancer	Cervical sample
0.0723120059719295	-0.866458442683392	Breast cancer	Cervical sample
